,Close_mean,Volume_mean,Close_std,Volume_std,Close_median,Volume_median,Close_skew,Volume_skew
ABEV3,12.301351019109935,15564273.228993537,2.099026352510548,14593339.088705622,12.6263747215271,12883300.0,0.001216111458970557,6.9421257224936905
B3SA3,6.558962582771358,36555482.66389658,4.6960477479506775,26731129.05780161,4.757795572280884,31265550.0,1.0283702705812157,9.316104950646869
BBAS3,9.488177079132939,21582267.577100646,3.9225061713632017,17762246.782852665,8.805625915527344,17783300.0,0.6393531103709528,11.0603918419127
BBDC4,11.226332789532917,26976653.84579871,4.36724204626421,16924786.67413538,10.404432773590088,21754543.5,0.5054471579279279,2.1888341968736937
ELET3,14.212107554477118,3507222.1029547555,10.400201066891535,3188991.1756177433,12.092455387115479,2733538.0,0.642716800425882,4.944638647686182
ITUB4,15.053377018520816,26821074.76038781,5.64327350022423,14250504.491740204,14.968416690826416,23360105.0,0.2358077935800326,1.839738312567646
PETR3,5.665105232351484,14391693.095106186,2.053065971802461,13264942.17275357,5.21904993057251,11311950.0,0.37670073040320845,8.160402946364888
PETR4,5.101232056692586,54056187.578947365,1.9143969469118853,35766800.049390085,4.817816972732544,47261300.0,0.25815065880977,5.516193331512721
SBSP3,26.24768423087489,2196619.855493998,11.194231760459616,1805005.2117214554,23.115225791931152,1719650.0,0.8562091164301016,6.547740403934613
VALE3,22.227409624987363,13777335.902585411,14.57542437076722,13181041.945775414,16.60605812072754,9330400.0,1.803986127017536,4.2234405371785755
